City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Mercedes,UY,2020-01-03 05:19:56,-33.25,-58.03,69.01,80,14,4.0
118,Aykhal,RU,2020-01-03 05:19:56,65.95,111.51,-11.2,76,75,4.47
119,Moerai,PF,2020-01-03 05:19:56,-22.43,-151.33,76.21,88,100,16.53
120,Butaritari,KI,2020-01-03 05:19:56,3.07,172.79,80.37,85,100,11.63
121,Sorland,NO,2020-01-03 05:19:56,67.67,12.69,33.8,68,90,5.82
122,Biltine,TD,2020-01-03 05:19:57,14.53,20.93,56.37,31,0,15.14
123,Husavik,CA,2020-01-03 05:17:12,50.56,-96.99,19.0,91,9,1.01
124,Mehamn,NO,2020-01-03 05:14:05,71.03,27.85,37.4,80,99,20.8
125,Saint-Augustin,CA,2020-01-03 05:19:57,45.63,-73.98,37.99,92,90,3.36
126,Nikolskoye,RU,2020-01-03 05:16:23,59.7,30.79,39.2,80,90,8.95
127,Coquimbo,CL,2020-01-03 05:19:57,-29.95,-71.34,57.2,87,0,2.24
128,Kyzyl-Mazhalyk,RU,2020-01-03 05:19:58,51.15,90.58,-6.07,94,28,1.54
129,Maues,BR,2020-01-03 05:19:58,-3.38,-57.72,75.07,95,100,1.45
130,Kitimat,CA,2020-01-03 05:15:16,54.02,-128.69,28.4,74,90,16.11
131,Fenoarivo,MG,2020-01-03 05:19:58,-18.93,47.44,68.0,94,75,5.82
132,Souillac,FR,2020-01-03 05:19:58,45.6,-0.6,46.4,93,90,13.87
133,Norman Wells,CA,2020-01-03 05:15:06,65.28,-126.83,-5.8,83,90,8.05
134,Ribeira Grande,PT,2020-01-03 05:15:30,38.52,-28.7,55.11,76,0,12.06
135,Warri,NG,2020-01-03 05:19:58,5.52,5.75,66.49,30,33,4.5
136,Yakeshi,CN,2020-01-03 05:19:59,49.28,120.73,1.35,96,100,8.19
137,Malpe,IN,2020-01-03 05:18:16,13.35,74.72,84.2,66,20,4.7
138,Bitam,GA,2020-01-03 05:19:59,2.08,11.49,69.6,93,98,2.01
139,Clyde River,CA,2020-01-03 05:17:45,70.47,-68.59,-14.8,75,90,14.99
140,Vallenar,CL,2020-01-03 05:19:59,-28.58,-70.76,54.84,88,1,1.5
141,Barrow,AR,2020-01-03 05:15:04,-38.31,-60.23,60.96,73,61,9.66
142,Pemberton,AU,2020-01-03 05:20:00,-34.44,116.03,64.99,77,0,5.01
143,Nanortalik,GL,2020-01-03 05:12:48,60.14,-45.24,34.09,47,100,13.2
144,Gizo,IL,2020-01-03 05:20:00,31.8,34.94,53.6,62,40,11.41
145,Santiago De Chuco,PE,2020-01-03 05:20:00,-8.15,-78.17,44.64,84,100,5.26
146,The Valley,AI,2020-01-03 05:20:00,18.22,-63.06,79.0,78,20,6.93
147,Sao Filipe,CV,2020-01-03 05:17:35,14.9,-24.5,70.11,75,100,14.32
148,Saint-Francois,FR,2020-01-03 05:20:01,46.42,3.91,37.0,100,100,2.24
149,Gumdag,TM,2020-01-03 05:18:14,39.2,54.59,47.35,72,46,9.93
150,Kralendijk,BQ,2020-01-03 05:17:14,12.15,-68.27,78.8,78,12,9.17
151,Morondava,MG,2020-01-03 05:20:01,-20.3,44.28,86.25,60,24,5.95
152,Vaitape,PF,2020-01-03 05:20:01,-16.52,-151.75,81.73,78,100,9.15
153,Northam,AU,2020-01-03 05:20:02,-31.65,116.67,72.0,32,75,16.11
154,Kamen-Rybolov,RU,2020-01-03 05:20:02,44.75,132.04,16.39,78,0,2.95
155,Stari Banovci,RS,2020-01-03 05:20:02,44.98,20.28,23.0,100,90,3.36
156,Sept-Iles,CA,2020-01-03 05:18:09,50.2,-66.38,1.4,77,20,2.24
157,Arraial Do Cabo,BR,2020-01-03 05:20:02,-22.97,-42.02,76.14,83,100,3.2
158,Chokurdakh,RU,2020-01-03 05:12:21,70.62,147.9,-21.59,93,24,1.59
159,Monrovia,LR,2020-01-03 05:20:02,6.33,-10.8,71.6,94,55,5.82
160,Lasa,CY,2020-01-03 05:20:03,34.92,32.53,51.8,87,75,8.05
161,Vao,EE,2020-01-03 05:14:20,59.1,26.19,36.75,88,17,15.35
162,Hornepayne,CA,2020-01-03 05:20:03,49.22,-84.78,22.98,94,96,7.16
163,Novogurovskiy,RU,2020-01-03 05:20:03,54.47,37.34,33.8,97,90,6.71
164,Rovaniemi,FI,2020-01-03 05:20:03,66.5,25.72,35.6,90,100,19.46
165,Yellowknife,CA,2020-01-03 05:15:16,62.45,-114.38,6.8,84,90,4.7
166,Soure,PT,2020-01-03 05:20:04,40.06,-8.63,53.01,87,75,4.7
167,Larvik,NO,2020-01-03 05:20:04,59.05,10.04,46.99,93,75,23.04
168,Lensk,RU,2020-01-03 05:20:04,60.71,114.91,12.29,93,100,9.71
169,Galeana,MX,2020-01-03 05:20:04,24.83,-100.08,51.49,52,0,7.87
170,Grindsted,DK,2020-01-03 05:20:04,55.76,8.93,48.0,100,100,17.22
171,Guayaramerin,BO,2020-01-03 05:17:35,-10.82,-65.36,72.09,99,100,1.07
172,Yar-Sale,RU,2020-01-03 05:17:43,66.83,70.83,-6.32,96,0,10.6
173,Zyryanka,RU,2020-01-03 05:17:41,65.73,150.89,-11.87,86,33,5.17
174,Thompson,CA,2020-01-03 05:17:29,55.74,-97.86,8.6,84,90,3.09
175,Waipawa,NZ,2020-01-03 05:20:05,-39.94,176.59,70.54,35,0,11.59
176,Latung,ID,2020-01-03 05:20:05,-8.45,120.42,76.96,85,100,3.0
